冰山上的来客,,,"编剧：白辛
导演：赵心水 
摄影：张翚
美术：史维钧 
作曲：雷振邦
录音：林秉成 
风俗顾问：古里米尔
副导演：张凤翔
特技摄影：刘春海
特技设计：温亚奎
照明：王凤武
置景：李树仁
绘景：龚明辉
剧务：赵惠恒
剪接：周 骅
场记：孟健华
化妆：李守仁
道具：陈国栋
服装：王太
制片主任：敬然
演奏：长影乐团
指挥：尹升山","梁音-杨排长
阿不都力密提-阿米尔 
谷毓英-假古兰丹姆
恩和森-尼牙孜 
吐尔地木萨-热力普
马陋夫-阿曼巴依 
阿衣仙木·克里木 -真古兰丹姆
张冲霄-一班长
白德彰-三班长   
张辉-二班长
王春英-卡拉 
宋宝义-杜大兴
达乌提-它什迈提 
买买提西里甫-纳乌茹孜
乌布力海尔-阿拉木苏",一九五一年，一股匪特企图从新疆某山口入境。匪首阿曼巴依利用古兰丹姆与边防战士阿米尔童年时青梅竹马的恋爱关系，先派一女特务，冒充早年流浪在外的古兰丹姆潜入境，刺探情报，配合匪特偷越边防。我边防军杨排长识破匪特诡计，并根据这个线索，掌握了敌情。匪特第一次偷越计划失败后，骗取了真古兰丹姆信任的匪首阿曼巴依亲自护送真古兰丹姆回乡。为了灭口，他们派人杀死假古兰丹姆，又以为真古兰丹姆和阿米尔举行婚礼之名，企图在当地的巴罗脱节，里应外合，袭击我边防哨所。杨排长将计就计，布下天罗地网，将这股匪特一网打尽，并使离别八年的古兰丹姆和阿米尔的心愿得以实现。
花为媒(评剧),,,"改编：吴祖光 导演：方 荧 
摄影：舒笑言 美术：张 尧、李俊杰 
音乐设计：徐文华、张禹田 录音：张剑平
副导演：林克舞台剧本改编：陈怀平、吕子英 化妆：杨世雅、王佩珍 照明：王文起 置景：李树仁、姚承云 助理导演：从连文 场记：可 人 剪接：阮复山 剧务：牛景纯 服装：陈玉梅、耿明昆绘景：龚明辉 道具：苏云鹏 制片主任：张敬平 演奏：中国评剧院一团乐队、长春电影制片厂乐队演出：中国评剧院一团","赵丽蓉-阮妈
爱丽君-二大娘 
李忆兰-李月娥
花砚茹-王氏 
赵连喜-李茂林
杜洪堃-王少安 
王素文-张氏
杜宝宇-王俊卿 
张德福-贾俊英
李文治-张 朋 
宋桂岚-孙氏
庄珏珍-青春 
新凤霞- 张五可","根据成兆才原著改编。
王俊卿与表姐李月娥私订终身。王母托阮妈为俊卿说亲。阮妈替他说了才貌双全的张五可，俊卿不允张家亲事，思念月娥，忧虑成疾。王母又托阮妈去月娥家说亲。月娥之父李茂林拒此婚事。俊卿闻知，病情更重，王母心急如火。阮妈献计去张家花园相亲，让俊卿看见五可才貌，便会喜爱五可。无耐俊卿病重，不能前往，请其表弟贾俊英代为相亲。
俊英来到张家花园，五可见他英俊文雅，赠与红玫瑰私订终身。俊英将红玫瑰转赠俊卿，俊卿拒不接受。阮妈又向王母献策，先将五可娶来。王母应允，定期迎娶。月娥得知，痛苦万分。月娥母乘其父不在家中，采用冒名送女之计，抢先将月娥送到王家与俊卿拜堂成亲。待五可的花轿到来时，他们早已拜完花堂。五可大怒，立即闯进洞房，质问俊卿。阮妈见此情景不知如何是好，突然发现贾俊英，遂即将他拖入洞房，两对情人各遂心愿。"
自有后来人,,,"编剧：迟雨*、罗 静
导演：于彦夫 
摄影：孟宪弟
美术：徐 渭 
作曲;全如玢
录音：王非 
副导演：荆杰
助理导演：张健佑
制片主任：刘水航
剧务;张兆瑞
照明：姜克贵
场记：齐兴家
剪接;周莹箴
置景：张德永
化妆：王玢瑞
服装：胡 臣
道具：赵景云
演奏：上影乐团
指挥：王宗鉴","齐桂荣 -李铁梅
赵联-李玉和 
车毅-李奶奶
韩、焱-鸠山 
印质明-王巡长
马陋夫-张大爷 
王延盛-伍长
张辉-跳车人 
荆杰-宪补
孙笑非-便衣甲 
赵宝华-便衣乙","一九三九年，在日寇统治下的东北一个城市里，住着一家祖孙三代人，这一家并不同姓，是共同的斗争和阶级命运把他们联结在一起。为将一份密电码送交游击队，我地下交通员铁路工人李玉和遭叛徒王巡长出卖被捕.日寇宪兵队长鸠山迫降未得逞，提着礼物来到李家，企图利用母子之情，从李母的手里骗出密电码，被富有斗争经验的李母识破骗局。于是，敌人将李母与孙女铁梅抓走。之后，鸠山为李玉和一家三代安排了一次会面，想暗中窃听密电码的下落。祖孙三人在狱中相会，互诉衷情，道出三人原非一家人。鸠山见毫无结果，杀害了李和李母，佯释铁梅，并派叛徒王巡长与铁梅联系，企图从年幼的铁梅手里骗取密电码。铁梅根据王受伤的左臂，认出王是出卖父亲和奶奶的叛徒，她机智地将皇历冒充密电码，骗走了叛徒。然后乘机跑出去取出密电码，送交给游击队，完成了父亲和奶奶未完成的任务。
* 迟雨，即沈默君。"
朝阳沟(豫剧),,,"编剧：杨兰春
导演：曾未之 
摄影：张翚
美工：王崇 
音乐设计：王基笑、张禹
录音：黄力加
田、姜鸿轩
副导演：姜树森
化妆：毕泽普
照明：孙振山
置景：侯崇
助理导演：刘斐
场记：孟健华
剪接：赵淑莲
服装：李春蝉
道具：苏云鹏
绘景：吉国祥
制片主任：杨文浩
舞台导演：杨兰春、许欣
演奏：河南省豫剧院三团乐队
指挥：王基笑
演出：河南省豫剧院三团","魏云-银环
王善朴-栓 保 
高洁-栓保娘
马琳-二婶 
陈泓-李桂兰
董芳-小董 
高颂喜-巧真
韩登庆-栓保爹 
杨华瑞-银环妈
朱义-老支书 
陈新理-老小孩
孙大振-二小哥 
李素萍-玲歌
朱凡-青年甲 
刘凌-青年乙
冯文景、马会等-男女社员","银环和栓保在高中学习时相爱。毕业后栓保回乡参加农业生产，当他来接银环时，银环因母亲反对，犹豫不定，经过思想斗争，终于随栓保来到朝阳沟。银环妈随后赶来，逼银环回去。老支书书把银环妈劝走，让银环暂时留下。银环初参加劳动，手上打了血泡，却得到了社员们的鼓励，心中有些沾沾自喜。
几天过后，由于劳动的艰苦，银环的热情渐渐消失，思想产生了动摇。正在这时，银环妈来信说卧病在床。
银环乘机离开了朝阳沟，一路上她触景生情，想起老支书的鼓励和公婆的挽留，感到有些羞愧。回到城里，见到母亲并未生病，是想骗她回城另找工作。她非常气愤，当天返回农村。银环妈见女儿意志坚定，也从城里搬到农村安家落户了。
秋天，朝阳沟获得了大丰收。银环经过劳动锻炼，认清了知识青年在农村的广阔前途。"
我们村里的年轻人(续集),,,"编剧：马烽
导演：苏里、尹一青 
摄影：郭镇铤
美术：童景文 
作曲，张棣昌
录音：阙敬修 
作词;乔羽
独唱：郭兰英
副导演：刘文华
特技美术：白天民
特技摄影：刘春海
照明：周茂文
置景：萧永生
剪接：祖述志
化妆：姚玉宝
服装：刘仁羿
道具：王成栋
剧务主任：孙明珠
助理导演：李华
场记：华克
演奏：长影乐团
指挥：尹升山","李亚林 -高占武
金迪-孔淑贞 
梁音-曹茂林
宋雷娟-小翠
刘增庆-李克明
卢桂兰-冯巧英 
张延-老社长
任颐-赵书记 
马骉-孔阴阳
李晓功-胖大嫂 
孙羽-二狗
李希达--小亮 
杨辛媛-小兰
任伟民-刘会计 
李铁峰-高忠爷爷
浦克-老周 
王建华-孔大妈
庄焰-曹大妈 
刘彤彦-何长有
温祥林-二虎",副大队长高占武带领孔家庄的年轻人劈山引水，改变了家乡缺水面貌，继而又提出要在村里修建水电站。思想保守的老社长认为修电站是高不可攀的事，以劳力、资金缺乏为由表示反对。公社赵书记采纳了年轻人的建议，派高占武负责修建水电站的工作。村里办了电气化训练班，全村掀起了学“电”的热潮。李克明接受了设计水电站图纸的任务，经过一番苦战，完成了图纸设计，外村来学习的冯巧英却批评李的设计华而不实，为此两人发生争吵.经高占武的帮助，两人和解并产生了爱情。在高占武的带领下，孔家庄的年轻人不仅把自己家乡的水电站修起来了，同时还派孔淑贞和李克明去支援邻村建设电站。一天，高占武突然接到未婚妻孔淑贞从周村寄来一封退婚的信，村里的年轻人都以为是李克明搞的鬼。李克明从周村回来，被弄得莫名其妙，经曹茂林解释，才知道李的对象是冯巧英。原来孔淑贞在支援周村修电站工作中把腿砸伤，她唯恐连累高占武，便给高写了一封退婚的信。高占武得知这个消息后，立即去医院看孔淑贞，消除了误会。后来，孔淑贞伤愈回村。秋收时，孔家庄粮食获得大丰收，孔家庄的年轻人在劳动、学习、友谊、爱情等各方面进一步成长起来。
满意不满意,,,"改编：费克、张幻尔、严恭
导演：严恭
摄影：方为策
美术;卢淦 
作曲：江巍
录音：申顾礼 
副美术：李俊杰
剧务：周广钰
照明：王文起
置景：周腾云
助理导演：林汝为
场记：可人、高永安
剪接：汪大儒
化妆：张立棠、毕礼海
服装：陈玉梅
道具：聂世祥、五忠臣
制片主任：郝伟光
演奏：长影乐团
指挥：尹升山
演出：苏州市滑稽剧团、常州市滑稽剧团、无锡市滑稽剧团、无锡市曲艺团","方笑笑-沈师傅
张幻尔-老张 
顾月娥-小顾
小杨天笑-杨友生 
丁凤英-杨母
杨天笑-老马 
盛洪庄-林师傅
谭凤琳- 洪队长 
丁吟-叶梅英
周霄艳-叶兰英 
方伯-胖顾客
袁慕尔-医生 
黄 影-王科长
聂慈风-商业局长 
顾文灵-汽车司机
杜介奇-上海顾客男 
王微娜-上海顾客女
叶霞珍-挑剔女顾客 
范丽娜-女顾客
钱瑞蓉-阿娟 
张幻梦-茶厂厂长
王晓风-牧鹅青年 
李颉-刘麻子
顾笑声-小钱 
殷雨宾-小赵
陆辰生-工会干部 ","根据苏州市滑稽剧团同名滑稽戏改编。
苏州“得月楼”餐厅服务员杨友生，看不起服务性行业，消极怠工，经常给顾客送错饭菜，还不承认错误。经过优秀服务员沈师傅和同志们的批评帮助，他又从一个极端走到另一个极端，一变冷颜相对为“笑脸相迎，笑脸相送”，他造作的“笑容”吓跑了好多顾客，落得意见簿上一大堆的批评。为此，他要改行，又没能如愿，不小心反把脚摔伤。休养期间，沈师傅用今昔对比教育他，伤愈后，他因穿错了沈师傅的工作服，被人家误请去作报告。经过这场误会，他终于从思想上找到病源，对服务行业有了正确的认识，改变了服务态度。"
两家人,,,"改编：林漠晨
导演：袁乃晨 
摄影：顾温厚
美术：李凡 
作曲：雷振邦
录音：洪堤 
副导演：常甄华
照明：郝汉增
剧务：王恩春
置景：邱玉财
助理导演：从连文
场记：赵瑞起
剪接：杨秉坤
化妆：李守仁
服装：李荣伟
道具：陈国栋
绘景：李洪学
制片主任：聂世昌
演奏：长影乐团
指挥：尹升山","方化-高正国
王建华-高大妈 
陈学洁-二珠
王延盛- 陈为邦 
黄玲-陈二婶
霍德集-小海 
刘伯弘-小香
刘儒-老农会 
柏瑞桐-小云
高平-猫胡子 
张钟熙-李存
许蓝-李大妈 ","根据刘澍德小说《桥》改编。
高正国和陈为邦解放前都是贫苦的农民，解放后积极参加土改，领导互助生产。高女二珠和陈子小海相处得也很好。土改后，随着生活的好转，高正国滋长了“个人发家致富”的思想，搞单干、积粮、置地、雇长工。陈为邦对高正国的错误思想曾几次三番进行教育帮助，但高正国充耳不闻。老农会警告他不能走所谓“富一家，穷千家”的资本主义老路，高认为社会上应该“有富有穷”。在卖余粮的问题上，二珠跟父亲展开了顽强的斗争，使父亲被迫卖了余粮。高正国为捞回卖余粮的亏损，又拼命拉脚搞副业，并买了单干户贫农李存的土地。这时，农业合作化运动开始了。过去吃了单干亏的李存老汉第一个报名入社，没想到老伴李大妈背着他把地卖了。心地狭窄的李大妈自知做错了事，愁得走投无路，投井自杀。高正国亲眼看到李存老汉家的遭遇，又通过陈为邦用今昔对比对他的教育，使他终于将李存的土地证交还原主，并参加了农业合作社。高、陈两家人又象从前那样和睦相处，亲如一家。"
墙头马上(昆曲),,,"导演：蔡振亚
摄影：王春泉 
美术：刘学尧
作曲：朱传茗、雷振邦 
录音：林秉成
副导演：荣磊
绘景：吉国祥、张洪玉
置景：刘朝元","俞振飞-裴少俊
华传浩-裴福 
王传淞-裴尚书
言慧珠-李倩君 
梁容音-梅香
郑传鉴-李相国 
顾兆林-家 院
张凤云--乳 娘 
成志雄-裴兴
李佳-端 端 
李虬玉-阳阳",唐代裴尚书之子裴少俊，代父前往洛阳为皇上修建御花园挑选奇花异草，与李相国之女李倩君一见钟情，俩人结下墙头马上之盟。当倩君听说其父已将她许配给杜丞相之子后，在丫环梅香和乳娘的帮助下，与少俊私奔。少俊天性怯弱，怕父亲不答应这桩婚事，把倩君私藏在后花园中。一日，裴尚书去后花园游赏，发觉儿子偷娶妻室，以无媒苟合、伤风败俗之名，要将倩君送到官府问罪；继之又叫倩君用玉簪麻针、游丝系银瓶，故意刁难。少俊赶到，向父亲求情，尚书反而逼少俊写休书。少俊被逼无奈，只得忍痛提笔在纸上点上一点。倩君见少俊居然肯写，愤然离去，尚书又逼少俊立即进京赴考，然后乘四周无人，假冒儿子之名写了休书，将倩君赶走。后来，少俊中了状元，李相国得知与其女私奔的就是少俊，转怒为喜，命少俊娶其女。裴尚书听说被他赶走的倩君原来是李相国的女儿，亲自到城外清虚观接倩君。倩君不从，定要少俊亲自去迎她，少俊释开写休书的误会，倩君这才跟着少俊回家。裴尚书和李相国出门迎接倩君，两人俱有窘态。
冰雪金达莱,,,"编剧：关沫南
导演：朱文顺 
摄影：包杰
美术：刘金乃 
作曲：娄彰后
录音：佟宗德 
副导演：林克
照明：王书臣
置景：姚承云
剧务：王书斌
助理导演：韩敏
场记：刘文余
剪接：阮复山
绘景：吉国祥
化妆：李景文
服装：梁砚田
道具：贾益三
制片主任：张敬平
演奏：延边歌舞团、延边艺术学校、长影乐团
指挥：安国敏","李松竹-金淑子
浦克-公公 
史可夫-王成安
夏佩杰-婆婆 
白英宽-崔成龙
李瑛-赵敏 
张冲霄-张景财
张辉-朴队长 
顾谦-屯长
金林-日军 
陈翔-伪军
韩敏-朴大姐 
尉骞-女犯甲
严皇-女犯乙 ",抗日战争时期，朝鲜妇女金淑子一家在国内无法生活，流亡到我国东北。金淑子的丈夫崔成龙不堪忍受日寇的迫害，参加了中国的游击队。金淑子安于小家庭生活，后来因为丈夫参加游击队，敌人将她逮捕。由于严刑折磨，使她早产，孩子死于狱中。金淑子在同牢房的女游击队员赵敏的启发帮助下，懂得了革命的道756理。赵敏牺牲后，金淑子被释出狱。为了完成赵敏生前嘱托给她的一项联络任务，几经周折，才与游击队接上关系。在联络的过程中，她得知自己的公公原来就是游击队的地下交通员，于是她把一批枪支弹药交给了游击队。后来，淑子一家的行动被屯长发现，金淑子和公公、婆婆都遭逮捕，游击队设法把他们救了出来。最后，金淑子参加了游击队，与丈夫并肩作战。
汾水长流,,,"改编：胡正、沙蒙
导演：沙蒙、傅杰 
摄影：杨霁明、徐孝先、吴生汉
美术：俞翼如、莫仁楫
作曲：高如星
录音：蔡军、张家克 
作词：高如星
副导演：黎莉莉
照明：王福琛、赵新鸣
化妆：王希钟
剪辑：严尚华
制片：李秉忠、才汝彬
独唱：王爱爱、孟贵彬
演奏：北影乐团
指挥：姚关荣","高保成-王连生
王志刚-郭春海 
张平-周富有
李壬林-赵玉昌 
郭筠-郭守成
赵子岳-徐明礼 
尹助力-刘元禄
郭书田-孙茂良 
杜德夫-郝同喜
袁玫-杜红莲 
姚向黎-连生妻
凌元-富有妻 
陈立中-春海妻
黄钟-姜玉牛 
俞平-孙玉兰
程汉焜-张虎蛮
郭仲良-周林祥
孙珍-李二拐 
李雨农-周和尚
孙聪-元祿妻 
赵万德-任宝娃
王开基-许庆来","根据胡正同名小说改编。
一九五四年，晋中平原汾河沿岸的杏园堡农业社遇到灾害，年轻的党支部书记郭春海带领群众克服困难渡灾。一心想发财的副社长刘元禄却多方阻扰。富农兼商人的赵玉昌乘机伙同已被拉下水的刘元禄一起倒卖粮食，鼓动社员闹退社。郭春海依靠贫下中农，及时提出了抗旱办法，以互助互借解决了群众的缺粮困难。后来，农业社战胜了天灾人祸，生产获得了大丰收。刘元禄在党支部的多次帮助下，仍迷途不返，他竟与赵玉昌合谋，给贫农积极分子王连生栽赃破坏生产，企图借以打击郭春海，搞垮农业社。但他们的阴谋被揭穿。副社长刘元禄被撤职，赵玉昌被逮捕法办，王连生当选为副社长。"
