丰收,东北电影制片厂摄制,黑白 10本,"编剧：孙谦、林杉
导演：沙蒙
摄影指导：吴蔚云
摄影：包杰
布景设计：卢淦
作曲：张棣昌
录音：沙原、陈文渊
副导演：林农、王炎
作词：塞克
剧务主任：敬然
照明：马天文
制景：王永邦、姚承云
场记：蔡振亚
洗印：李存邦、牛贵祥
剪接：祖述志
演奏：东影管弦乐队
指挥：尹升山","李舒田-陈初元
赵子岳-孙富贵
张平-王县委
林农-小冬
王蓓-金花
傅杰-福善老汉
徐连凯-杨明远
浦克-李洛强
王枫-赵保元
车毅-陈大娘
刘惠明-银风
张健佑-小王
缪熟-林队长
王炎-张县长",陈家庄农业合作社连年获得丰收，合作社主任孙富贵产生了生产到顶的思想。全国劳动模范陈初元从北京开完“劳模会”回来，提出了增产口号。孙富贵和副业队长杨明远觉得增产目标太高，完不成。为了保证增产，陈初元提出打井抗旱，变早地为水浇地。孙富贵的儿子和陈初元的女儿都是共青团员，他们支持陈初元的打井计划。但由于孙富贵、杨明远等人的反对，打井计划没有通过。后来，陈初元在县委的支持和鼓励下，战胜了孙富贵的生产到顶思想，带领群众打井，把旱地变成了水浇地，使陈家庄的收成大大超过了原来的增产计划。
草原上的人们,,,"改编：海默、玛拉沁夫、达木林
导演：徐韬
摄影：王春泉、傅宏、李光惠
布景设计：汪滔
作曲：向异、通福
录音：吴江海
副导演：朱文顺
助理导演：广布道尔基
剧务：武愚、郝伟光
化妆：毕泽普
照明：李树林
置景：邵云祥
洗印：胡集仁、黄国强
剪接：贾文锦
演奏：东影管弦乐队
指挥：尹升山","乌日娜-萨仁格娃
恩和森-桑布
朝鲁-白依热
树海-宝鲁
安琪-乌尔莎娜
叶贺-阿木古郎
广布道尔基-盟长
鄂长林-村长
马路-公安局长
张巨光-吕绶卿
毛依恨-说书老人
于黛琴-乌母
赵万德-旗干部
王英-老牧民","根据玛拉沁夫同名小说改编。
牧女萨仁格娃和猎手桑布相爱，他们辛勤劳动，建设美好的草原。暗藏的特务宝鲁挑动萨父白依热退出互助组，遭到斥责。在一次暴风雪中，宝鲁割断牲畜栏杆的绳子，放跑了牲畜。萨仁格娃为救牲畜受伤，幸得桑布相救。之后，萨仁格娃给受伤的牲畜注射时，宝鲁乘机往井里投毒，并把羊群中毒的原因嫁祸于萨仁格娃。随后，宝鲁又同特务吕绶卿等，在一年一度的那达慕大会上纵火破坏，被萨仁格娃、桑布发现，将特务一网打尽。"
结婚,,,"改编：马烽、陈戈
导演：严恭
摄影：朱今明、包杰
美工设计：徐渭
作曲：李曦
录音：阙敬修
副导演：高衡
剧务主任：潘英
照明：李延江
特技：陈秉中
置景：刘朝元
洗印：阎崇生、胡集仁
剪接：周骅
演奏：东影管弦乐队
指挥：尹升山","张锡奇-田春生
邸力-田大妈
王春英-李东和
张延-老王
杨静-杨小青
王健华-杨大妈
林燕-贵兰
黄玲-周大妈
车毅-福林娘
陈强-田高洪
亚滨-小娥
李万城-村 长
莫愁-李大嫂
刘儒-杨万有
朱修勤-巧英
肖玲-老周
李健-赵大妈
李晓功-福林媳妇
刘春林-区 长
许蓝-妇联主任
孙笑非-赶车员","根据马烽同名小说改编。
柳林村的姑娘杨小青和清水庄的青年田春生相爱已久，俩人  商定秋后结婚。双方的父母着急要抱孙子，好容易盼到他们的婚  期，不料在结婚的前两天，杨小青去县里学习新接生法，回村后 又接着开展妇婴卫生工作，在春生的同意下，接连两次推迟了婚 期。第二年春天，小青和春生约定到区里去登记。可是因为春生 在路上帮助行路人推车、堵水堤决口，小青也因帮助人家去接生， 耽误到后半晌才办理好登记手续，惹得他们俩的父亲都赶到区
上。"
小姑贤(评剧),,,"改编：东北戏曲研究院 导演：林农
摄影：韩仲良 美工：刘学尧
编曲：黄晶、王其珩、张文明 
录音：林秉成
剧务主任：廖凡
照明：王文起
置景：栾清浦
洗印：胡集仁、袁伦
剪接：沙书清
音乐：东北评剧团乐队
演出：东北戏曲研究院评剧团","菊桂芳-姚氏
韩少云-靳氏
徐菊敏-周英英
张忠义-周继孟",姚氏二十五岁时死了丈夫，她有一儿一女，女儿叫英英，儿子叫继孟。继孟娶妻后，夫妇俩感情很好，婆婆对此很不欢喜。 一天，媳妇给婆婆送饭，婆婆故意为难媳妇，要媳妇马上做出八十六样饭来给她挑选。媳妇做不出来，姚氏拿鞭就打。英英进屋劝解，答应去替母亲另做一碗面来。英英端着嫂嫂做的面走出房门转了一圈，重又端了回来，说是自己做的，姚氏一边吃一边夸奖。吃过了面，姚氏又嫌媳妇扫的院子不干净，纳的鞋底不整齐，英英怕母亲又责怪嫂嫂，就说这两件事都是她做的。母亲立刻转怒为喜，夸奖女儿能干。英英见母亲这样偏心，很不服气， 当场说出了事实真相，使母亲很难堪。姚氏恼羞成怒，反污媳妇把小姑教坏了，要把媳妇打死。英英急中生智，一方面劝母亲把嫂嫂交给哥哥管教，一方面叫哥哥假装打嫂嫂。继孟照着英英的计策，故意怒气冲冲把妻子拉到房里，用棍子乱打椅垫，叫妻子装死吓哄母亲。姚氏信以为真，怕闹出人命自己吃官司，吓得直打哆嗦。英英见状，才假装去救嫂嫂，嫂嫂也假装着死而复活。 随后，英英为帮助母亲打通封建思想，假意哭闹着要投河自杀，怕自己将来也碰到象母亲这样的婆婆，姚氏急得无法，英英便向母亲提出条件：以后不能再给嫂嫂气受，让嫂嫂吃穿都和她一样，姚氏只好应允。从此以后，婆媳和睦，姚氏不再挑媳妇的毛病了。
智取华山,,,"改编：郭维、纪叶、东方
导演：郭维
摄影：陈民魂 布景设计：秦威
作曲：陈地、李季达 录音：蔡军
布景副设计：王桂枝
剧务主任：纪少岚
剪接：严尚华
洗印：董鸿翼、陈福庭
照明：张海山
剧务：金保生、赵义虎
场记：于清
化妆：李恩德、王希钟
服装：王峰
特技：张玉珊、姜亦素
音响：娜雷
演奏：北影管弦乐队
指挥：曹鹏","李金榜-团长
杨庆卫-参谋长
田丹-路德亮
李雨农-朱开富
黄非-王生齐
刘柳-常生林
张茜-常妻
方化-匪旅长方子乔
管宗祥-匪参谋长
刘宗-匪侯副营长
安然-匪排长
李岩-匪兵
许又新-政委
郭允泰-刘明基
阎增和-孟士俊
白尔纯-杨小保
高平-刘家典
胡朋-常母
贾六-深山老人
黎莉莉-匪旅长妻
陈志坚-匪关营长
赵义虎-匪副官
梁新-匪班长
","根据任萍、王宗元等原著改编。
一九四九年，人民解放军发动解放大西北的强大攻势。胡宗南军队向南逃窜，敌旅长方子乔带一部分敌军逃上华山，企图利用华山天险负隅顽抗。解放军某团侦察参谋刘明基率领侦察人员，在当地药农常生林的向导下，打破了民间“自古华山一条路”的说法，从后山小路登上北峰，占领了制高点千尺幢。敌旅长组织人马疯狂反扑。正在危急时刻，回去送信的常生林领着大部队赶到，全歼了敌人。"
赵小兰 (舞台剧纪录片),,,"编导：林扬
摄影：聂晶
美工：张振宗
作曲：张林漪
录音：陈燕嬉
剪接：关明国
洗印：赵栋
场记：刘月娉
照明：邱宝贤
化妆：张竞
剧务：魏金瀛、高怀允
演奏：北影管弦乐队
指挥：陈维文","林汝为-赵小兰
管宗祥-老赵头
李环-老刘婆
周凋-韩大嘞嘞
张昕-妇女主任
李林-老吴
刘节-青年妇女
严皇-青年妇女
阎增和-周永刚
熊塞声-赵老太太
许兰-魏大姐
韩焱-村长
张茜-赵秀兰
师伟-青年妇女
林东升-青年妇女","根据金剑原著《赵小兰》改编。
东北某村有个外号叫“老顽固”的老赵头，他有两个女儿，大女儿十七岁就由他包办结了婚，因为他向婆家要了十二担粮食的财礼，所以秀兰过门后，天天受丈夫和婆婆的气。老赵头两口子还怪女儿“没本事”、“命不好”。
小女儿小兰十九岁了，和本村青年周永刚很要好，虽然永刚是个生产小组长又是县劳模，可老赵头认为儿女婚姻自主破坏了“老规矩”,又嫌永刚出不起财礼，因此便通过刘媒婆给小兰另找了婆家，还说好了财礼。小兰不同意这桩婚事，和父亲吵了起来，吵着吵着小兰想起了个办法：假装答应亲事，用被子蒙头装睡，等到家里没人时，她就跑了出去。这时，男方魏家送小礼的人已经来了，老赵头才知道小兰和永刚到区政府办结婚登记的事。他正要去找村主席告永刚拐他的女儿，村主席和妇女主任正好来到他家。村主席对老赵头说，要把他编到别的组里去，老赵头不同意，说组织小组是自愿的，不能包办代替，这是政府规定的。村主席问他：你找生产小组也知道自愿两利，自找对象，可你为什么包办小兰的婚姻呢?政府不是也规定了新婚姻法吗?老赵头无言以对。这时候，秀兰因受不了丈夫和婆婆的打骂，离婚 回家来了。魏家也派人捎来信，说男方早已自选了对象。经过这一系列事实的教育，老赵头的思想打通了。小兰和永刚也登完记，回来结了婚。"
金银滩,,,"编剧：林艺
摄影顾问：周达明
布景设计：葛师承
录音：丁伯和、宋亮臣
导演：凌子风
摄影：李生伟、苗振华
作曲：徐辉才、王海天
副导演：周峰、林扬
配音：薛志昌
造型设计：乐羽侯
洗印：杜振昆
剪接：陈祥兴
布景助理：施文起
背景：戈辛锷
制景：朱锡光
照明：徐永亮
制片主任：江雨声
剧务主任：金兆元
风俗顾问：宦爵才郎
军事顾问：孙巩
演奏：上海市人民交响乐团
指挥：黄贻钩","恩和森-朵布龙
孙喜-索男甲(塔秀部落千户)
张雁-解放军团长兼县长
夏天-夏务(塔秀部落千户管家)
珠岚·琪奇珂-卓玛
席良-达力杰(阿里仓部落千户)
温锡莹-盖巴
李冰-才让(阿里仓部落千户管家)
图布信-完麻甲
张启光-采旦
全友-财库
梁山-刘惠民(伪司令)
叶高-周效忠(伪团长)
格日勒-老妇
李明-张 华(政府工作人员)
焦平权-看茂
杜耀华-陶尔吉(寺院管家)
吴涛-牧民甲
刘苏英-刘三太太
冯振昆-朵宝
智世明-阿妈
焦玉琴-赛也杰
齐衡-王隆生(伪秘书长)
辛克-伪特派员
杜大卫-李连长
王静安-索男甲妻
李玲君-扎喜
刘凤歌-宁麦
任礼湫-牧民乙
",藏族的塔秀部落和阿里仓部落分居金滩与银滩。马步芳军队调唆两个部落不和，以便分而治之。后来，敌人感到末日来临，为向藏民征用军马，对抗解放军，阴谋挑拨两滩人民抢夺双方的土地、打冤家。金滩塔秀部落青年牧民朵布龙和他的情人阿里仓部落的姑娘卓玛，识破了敌人的阴谋，他们分别对各自部落里的牧民进行劝说。敌人想尽了办法，终于挑拨两个部落的千户开起火来。卓玛的父亲财库在火线上呼吁双方停止战斗，不幸中弹受伤。 这样，两个部落的千户之间更加深了仇恨。解放军进逼西宁，解放了金银滩。敌团长潜伏进山，继续暗中挑拨两个部落千户消极对抗人民政府。党的民族政策使两滩人民团结起来。
采蘑菇 (动画),,,,,
小小英雄 (木偶),,,,,
纺花曲,,,"编剧：沈浮
导演：沈浮
摄影：胡振华
美术：丁辰、胡登仁
作曲：陈歌辛
录音：袁庆余
制片主任：孟君谋
照明：陈安卿
装置：诸富祥
剪接：傅正义
剧务：夏冬
场记：田野
化妆：王铁彬
场务：陈菊甫
服装：蒋正勤
道具：姚志荣
洗印：严兆德、杭子玉","奇梦石-孟兆南
中叔皇-王宽
上官云珠-蔡阿珠
吴茵-阿毛娘
王蓓-小董
张翼-孔茂章
苏曼-胡山林
王岚-刘鸣才
程汉-钱阿炳
夏冬-马厂长
丁子明-马太太
高正-孟文宋
张乾-孟文刚
李临-王大光
陈菊甫-全根
梅红-胡阿红
蒋正勤-梁工程师
傅伯棠-崔教大
谢怡冰-周杏弟
高依云-柳小玉
郑屏-施月华
周依云-阿炳母
田野-刘发财
杨碧君-孔妻
刘小沪-阿媛
时汉威-龚同志",解放初期，由于帝国主义的经济封锁，上海私营宝通纱厂发生了困难。厂主孟兆南在特务孔茂章、胡山林的挑唆、怂恿下，携带资金逃往香港。与此同时，孔茂章又利用纱厂女工蔡阿珠，挑拨离间工人与工会之间的关系。继之，又进行破坏，焚烧纱厂的棉花，使得生产陷入停顿，职工的生活受到威胁。厂工会主任王宽等人，为了维持生产和解决职工的生活问题，在上级工会的帮助下，领导工人克服了种种阻挠和困难，终于找到出路，用国家的原料实行“代纺”。孔茂章和胡山林不甘心失败，威逼一向受蒙蔽被利用的刘鸣才去破坏机器。刘不忍下手，把情况告诉了蔡阿珠。蔡这时才明白自己过去被孔利用，痛悔万分，到工会告发了孔、胡。特务被逮捕了。许多工人提高了觉悟，帮助了资方的改造，使生产恢复正常。
